"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"841419","OPTIND","BSESEN","OPTION","25-Sep-2025","84300","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",220,0,20,5,"BSE SENSEX","","","","",0.05,664.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841421","OPTIND","BSESEN","OPTION","25-Sep-2025","86600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",40,0,20,5,"BSE SENSEX","","","","",0.05,204.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841424","OPTIND","BSESEN","OPTION","25-Sep-2025","80600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",320,0,20,5,"BSE SENSEX","","","","",0.05,2371.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841425","OPTIND","BSESEN","OPTION","25-Sep-2025","82900","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1380,0,20,5,"BSE SENSEX","","","","",0.05,942.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841426","OPTIND","BSESEN","OPTION","25-Sep-2025","78300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",600,0,20,5,"BSE SENSEX","","","","",0.05,932.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841428","OPTIND","BSESEN","OPTION","25-Sep-2025","74600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,139.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841430","OPTIND","BSESEN","OPTION","25-Sep-2025","88300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5234.45,10456.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841432","OPTIND","BSESEN","OPTION","25-Sep-2025","75300","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2668.35,7709.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841434","OPTIND","BSESEN","OPTION","25-Sep-2025","77600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",988,5357.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841435","OPTIND","BSESEN","OPTION","25-Sep-2025","79900","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,3201.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841436","OPTIND","BSESEN","OPTION","25-Sep-2025","82300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",120,0,20,5,"BSE SENSEX","","","","",697.6,4243.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841437","OPTIND","BSESEN","OPTION","25-Sep-2025","84600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2055.85,6609.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8225924,"SENSEX"
"841438","OPTIND","BSESEN","OPTION","25-Sep-2025","86900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3940.05,9018.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8130685,"SENSEX"
"841441","OPTIND","BSESEN","OPTION","25-Sep-2025","80900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1140,0,20,5,"BSE SENSEX","","","","",0.05,2457.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841442","OPTIND","BSESEN","OPTION","25-Sep-2025","85300","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,410.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8078654,"SENSEX"
"841443","OPTIND","BSESEN","OPTION","25-Sep-2025","87600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,113.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841446","OPTIND","BSESEN","OPTION","25-Sep-2025","81600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1480,0,20,5,"BSE SENSEX","","","","",0.05,1642.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841448","OPTIND","BSESEN","OPTION","25-Sep-2025","83900","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1100,0,20,5,"BSE SENSEX","","","","",0.05,612.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841449","OPTIND","BSESEN","OPTION","25-Sep-2025","79300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",540,0,20,5,"BSE SENSEX","","","","",0.05,1406.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841450","OPTIND","BSESEN","OPTION","25-Sep-2025","75600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,273.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841451","OPTIND","BSESEN","OPTION","25-Sep-2025","77900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,962.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8200071,"SENSEX"
"841452","OPTIND","BSESEN","OPTION","25-Sep-2025","88200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,77.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841453","OPTIND","BSESEN","OPTION","25-Sep-2025","82200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2260,0,20,5,"BSE SENSEX","","","","",0.05,1277.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841454","OPTIND","BSESEN","OPTION","25-Sep-2025","84500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",720,0,20,5,"BSE SENSEX","","","","",0.05,477.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841455","OPTIND","BSESEN","OPTION","25-Sep-2025","87900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",4857.4,10048.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8225924,"SENSEX"
"841458","OPTIND","BSESEN","OPTION","25-Sep-2025","80800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",480,0,20,5,"BSE SENSEX","","","","",0.05,2213.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841461","OPTIND","BSESEN","OPTION","25-Sep-2025","76200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,395,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841466","OPTIND","BSESEN","OPTION","25-Sep-2025","79200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",226.75,3816.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841467","OPTIND","BSESEN","OPTION","25-Sep-2025","86200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3326.65,8290.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8130685,"SENSEX"
"841468","OPTIND","BSESEN","OPTION","25-Sep-2025","88500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5424.65,10660.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841469","OPTIND","BSESEN","OPTION","25-Sep-2025","75500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2500.65,7503.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841470","OPTIND","BSESEN","OPTION","25-Sep-2025","77800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",872.6,5157.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"841471","OPTIND","BSESEN","OPTION","25-Sep-2025","80200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1380,0,20,5,"BSE SENSEX","","","","",0.05,1946.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841472","OPTIND","BSESEN","OPTION","25-Sep-2025","82500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",860,0,20,5,"BSE SENSEX","","","","",86.95,3738.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7980965,"SENSEX"
"841473","OPTIND","BSESEN","OPTION","25-Sep-2025","84800","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2202.5,6819.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
